pair_ID,sentence_A,sentence_B,entailment_AB,entailment_BA
30,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,A_entails_B,B_entails_A
31,A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,A_contradicts_B,B_contradicts_A
32,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,A_entails_B,B_entails_A
33,A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,A_entails_B,B_entails_A
34,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,A_contradicts_B,B_contradicts_A
35,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,A_neutral_B,B_neutral_A
36,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,A_neutral_B,B_neutral_A
37,The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,A_neutral_B,B_neutral_A
38,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,A_contradicts_B,B_contradicts_A
39,The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,A_neutral_B,B_neutral_A
40,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,A_neutral_B,B_neutral_A
41,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,A_entails_B,B_neutral_A
42,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,A_contradicts_B,B_contradicts_A
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,A_neutral_B,B_neutral_A
44,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,A_entails_B,B_entails_A
45,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,A_contradicts_B,B_neutral_A
46,Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,A_neutral_B,B_neutral_A
47,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,A_neutral_B,B_neutral_A
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,A_neutral_B,B_neutral_A
49,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,A_neutral_B,B_neutral_A
50,Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,A_neutral_B,B_neutral_A
51,Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,A_neutral_B,B_neutral_A
52,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,A_entails_B,B_entails_A
53,Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,A_neutral_B,B_contradicts_A
54,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,A_neutral_B,B_neutral_A
55,Three boys are jumping in the leaves,Three kids are jumping in the leaves,A_entails_B,B_neutral_A
56,Three kids are sitting in the leaves,Three kids are jumping in the leaves,A_contradicts_B,B_neutral_A
57,Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,A_neutral_B,B_neutral_A
58,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,A_neutral_B,B_neutral_A
59,Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,A_neutral_B,B_neutral_A
60,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,A_neutral_B,B_neutral_A
61,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,A_neutral_B,B_neutral_A
62,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,A_neutral_B,B_neutral_A
63,Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,A_entails_B,B_neutral_A
64,Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,A_contradicts_B,B_contradicts_A
65,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,A_neutral_B,B_neutral_A
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,A_entails_B,B_entails_A
67,Two people in snowsuits are lying in the snow and making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,A_contradicts_B,B_contradicts_A
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,A_neutral_B,B_neutral_A
69,Two children are lying in the snow and are making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,A_contradicts_B,B_contradicts_A
70,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,A_neutral_B,B_neutral_A
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,A_neutral_B,B_neutral_A
72,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,A_neutral_B,B_neutral_A
73,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,A_neutral_B,B_neutral_A
74,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,A_entails_B,B_entails_A
75,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,A_contradicts_B,B_neutral_A
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,A_neutral_B,B_neutral_A
77,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,A_entails_B,B_neutral_A
78,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,A_neutral_B,B_contradicts_A
79,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,A_neutral_B,B_neutral_A
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,A_neutral_B,B_neutral_A
81,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,A_neutral_B,B_neutral_A
82,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,A_neutral_B,B_neutral_A
83,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,A_neutral_B,B_neutral_A
84,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,A_neutral_B,B_neutral_A
85,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,A_neutral_B,B_neutral_A
86,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,A_neutral_B,B_neutral_A
87,A lone biker is jumping in the air,"A biker is jumping in the air, alone",A_entails_B,B_entails_A
88,There is no biker jumping in the air,A lone biker is jumping in the air,A_contradicts_B,B_contradicts_A
89,A man is jumping into an empty swimming pool,A man is jumping into an empty pool,A_entails_B,B_neutral_A
90,A man is jumping into an empty pool,A man is jumping into a full pool,A_contradicts_B,B_contradicts_A
91,A man is jumping into an empty pool,The man's jumper is in the empty pool,A_neutral_B,B_neutral_A
92,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,A_neutral_B,B_neutral_A
93,A lone biker is jumping in the air,A man is jumping into a full pool,A_neutral_B,B_neutral_A
94,The man's jumper is in the empty pool,A lone biker is jumping in the air,A_neutral_B,B_neutral_A
95,A man is jumping into an empty pool,"A biker is jumping in the air, alone",A_neutral_B,B_neutral_A
96,A man is jumping into an empty pool,There is no biker jumping in the air,A_neutral_B,B_neutral_A
97,A lone biker is jumping in the air,A man is jumping into an empty pool,A_neutral_B,B_neutral_A
98,Four kids are doing backbends in the park,Four children are doing backbends in the park,A_entails_B,B_entails_A
99,Four children are doing backbends in the gym,Four children are doing backbends in the park,A_neutral_B,B_neutral_A
100,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,A_entails_B,B_neutral_A
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,A_neutral_B,B_neutral_A
102,Four girls are doing backbends and playing in the garden,Four children are doing backbends in the park,A_neutral_B,B_neutral_A
103,Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,A_contradicts_B,B_neutral_A
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,A_entails_B,B_neutral_A
105,Four children are doing backbends in the gym,Four girls are doing backbends and playing outdoors,A_neutral_B,B_neutral_A
106,Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,A_neutral_B,B_neutral_A
107,A man who is playing is running with the ball in his hands,A player is running with the ball,A_entails_B,B_neutral_A
108,A player is throwing the ball,A player is running with the ball,A_contradicts_B,B_neutral_A
109,Two groups of people are playing football,Two teams are competing in a football match,A_entails_B,B_entails_A
110,Two teams are competing in a football match,Two teams are competing in a baseball game,A_neutral_B,B_neutral_A
111,Two teams are competing in a football match,Football is being played by two competing teams,A_entails_B,B_entails_A
112,Two groups of people are playing football,A player is running with the ball,A_neutral_B,B_neutral_A
113,Two teams are competing in a baseball game,A player is running with the ball,A_neutral_B,B_neutral_A
114,A player is running with the ball,Football is being played by two competing teams,A_neutral_B,B_neutral_A
115,Two teams are competing in a football match,A man who is playing is running with the ball in his hands,A_neutral_B,B_neutral_A
116,A player is throwing the ball,Two teams are competing in a football match,A_neutral_B,B_neutral_A
117,A player is running with the ball,Two teams are competing in a football match,A_neutral_B,B_neutral_A
118,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,A_entails_B,B_entails_A
119,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,A_neutral_B,B_neutral_A
120,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,A_neutral_B,B_neutral_A
121,Five kids are standing close together and one kid has a gun,Five kids are standing close together and one kid has a weapon,A_entails_B,B_neutral_A
122,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,A_contradicts_B,B_contradicts_A
123,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a weapon,A_neutral_B,B_neutral_A
124,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,A_neutral_B,B_neutral_A
125,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,A_neutral_B,B_neutral_A
126,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,A_neutral_B,B_neutral_A
127,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,A_neutral_B,B_neutral_A
128,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,A_neutral_B,B_neutral_A
129,An old man is sitting in a field,A man is sitting in a field,A_entails_B,B_neutral_A
130,A man is sitting in a field,A man is running in a field,A_neutral_B,B_neutral_A
131,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,A_neutral_B,B_neutral_A
132,A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,A_contradicts_B,B_contradicts_A
133,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,A_neutral_B,B_neutral_A
134,A person is sitting in a field and is wearing a hat,A man is sitting in a field,A_neutral_B,B_neutral_A
135,A man is sitting in a field,There is no person wearing a hat and sitting on the grass,A_neutral_B,B_neutral_A
136,A person is sitting and wearing a grass hat,A man is sitting in a field,A_neutral_B,B_neutral_A
137,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,A_neutral_B,B_neutral_A
138,A person is wearing a hat and is sitting on the grass,A man is running in a field,A_neutral_B,B_neutral_A
139,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,A_neutral_B,B_neutral_A
140,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,A_entails_B,B_entails_A
141,A group of friends are riding the current in a raft,A group is not riding the current in a raft,A_contradicts_B,B_contradicts_A
142,This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,A_entails_B,B_entails_A
143,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,A_contradicts_B,B_contradicts_A
144,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,A_neutral_B,B_neutral_A
145,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,A_neutral_B,B_neutral_A
146,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,A_neutral_B,B_neutral_A
147,A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,A_neutral_B,B_neutral_A
148,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,A_neutral_B,B_neutral_A
149,A deer is jumping over a fence,A deer is jumping over the enclosure,A_entails_B,B_neutral_A
150,A deer is jumping over a fence,A deer isn't jumping over the fence,A_contradicts_B,B_contradicts_A
151,A wild deer is jumping a fence,A deer is jumping a fence,A_entails_B,B_neutral_A
152,A deer is jumping a fence,There is no deer jumping fences,A_contradicts_B,B_contradicts_A
153,A wild deer is jumping a fence,A deer is jumping over a fence,A_entails_B,B_neutral_A
154,There is no deer jumping fences,A deer is jumping over a fence,A_contradicts_B,B_contradicts_A
155,A deer is jumping over the enclosure,A deer is jumping a fence,A_neutral_B,B_neutral_A
156,A deer is jumping a fence,A deer isn't jumping over the fence,A_contradicts_B,B_contradicts_A
157,A deer is jumping over a fence,A deer is jumping a fence,A_entails_B,B_entails_A
158,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,A_entails_B,B_entails_A
159,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,A_neutral_B,B_neutral_A
160,Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,A_entails_B,B_entails_A
161,Several people are in front of a colorful building,Nobody is in front of the colorful building,A_contradicts_B,B_contradicts_A
162,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,A_entails_B,B_neutral_A
163,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,A_contradicts_B,B_neutral_A
164,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,A_entails_B,B_neutral_A
165,Several people are in front of a colorful building,People are walking inside a building that has many murals on it,A_neutral_B,B_neutral_A
166,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,A_neutral_B,B_neutral_A
167,A boy is hitting a baseball,A child is hitting a baseball,A_entails_B,B_neutral_A
168,A child is hitting a baseball,A child is missing a baseball,A_contradicts_B,B_contradicts_A
169,A family is watching a little boy who is hitting a baseball,A family is watching a boy who is hitting a baseball,A_entails_B,B_neutral_A
170,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,A_contradicts_B,B_neutral_A
171,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,A_neutral_B,B_neutral_A
172,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,A_entails_B,B_neutral_A
173,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,A_neutral_B,B_neutral_A
174,A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,A_neutral_B,B_neutral_A
175,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,A_entails_B,B_neutral_A
176,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,A_neutral_B,B_neutral_A
177,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,A_entails_B,B_neutral_A
178,A large group of Asian people is eating at a restaurant,A group of people from Asia is eating at a restaurant,A_entails_B,B_neutral_A
179,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,A_neutral_B,B_neutral_A
180,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,A_neutral_B,B_neutral_A
181,Various people are eating at red tables in a crowded restaurant with purple lights,Various customers are eating in a crowded restaurant with purple lights,A_entails_B,B_neutral_A
182,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,A_neutral_B,B_contradicts_A
183,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,A_neutral_B,B_neutral_A
184,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,A_neutral_B,B_neutral_A
185,Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,A_neutral_B,B_neutral_A
186,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,A_neutral_B,B_neutral_A
187,A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,A_neutral_B,B_neutral_A
188,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,A_neutral_B,B_neutral_A
189,A group of people in a large Asian restaurant is eating,Various people are eating at red tables in a crowded restaurant with purple lights,A_neutral_B,B_neutral_A
190,A large group of Asian people is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,A_neutral_B,B_neutral_A
191,A motorcycle rider is standing up on the seat of a white motorcycle,A motorcycle is riding standing up on the seat of the vehicle,A_entails_B,B_neutral_A
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,A_contradicts_B,B_contradicts_A
193,Someone is on a black and white motorcycle and is standing on the seat,A rider is on a black and white bike and is standing on the seat,A_entails_B,B_neutral_A
194,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,A_contradicts_B,B_contradicts_A
195,A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,A_neutral_B,B_neutral_A
196,Nobody is on a motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,A_contradicts_B,B_contradicts_A
197,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle,A_neutral_B,B_neutral_A
198,Someone is on a black and white motorcycle and is standing on the seat,No motorcycle rider is standing up on the seat of a motorcycle,A_contradicts_B,B_contradicts_A
199,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,A_neutral_B,B_neutral_A
200,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,A_entails_B,B_neutral_A
201,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,A_contradicts_B,B_contradicts_A
202,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A_entails_B,B_entails_A
203,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A_neutral_B,B_neutral_A
204,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,A_entails_B,B_neutral_A
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,A_neutral_B,B_neutral_A
206,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,A_neutral_B,B_neutral_A
207,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A_contradicts_B,B_contradicts_A
208,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,A_entails_B,B_neutral_A
209,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,A_entails_B,B_neutral_A
210,There is no dog leaping in the air,A dog is leaping high in the air and another is watching,A_contradicts_B,B_contradicts_A
211,Two dogs are playing by a tree,Two dogs are playing by a plant,A_entails_B,B_entails_A
212,Two dogs are playing by a tree,Two dogs are sleeping by a tree,A_neutral_B,B_neutral_A
213,A dog is leaping high in the air and another is watching,Two dogs are playing by a plant,A_neutral_B,B_neutral_A
214,A dog is leaping high in the air and another is watching,Two dogs are sleeping by a tree,A_neutral_B,B_neutral_A
215,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,A_neutral_B,B_neutral_A
216,Two dogs are playing by a tree,There is no dog leaping in the air,A_neutral_B,B_neutral_A
217,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,A_neutral_B,B_neutral_A
218,A girl in white is dancing,A girl is wearing white clothes and is dancing,A_entails_B,B_entails_A
219,There is no girl in white dancing,A girl in white is dancing,A_contradicts_B,B_contradicts_A
220,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,A_neutral_B,B_neutral_A
221,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,A_contradicts_B,B_neutral_A
222,The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,A_entails_B,B_neutral_A
223,A girl in white is dancing,The dancer is dancing in front of the sound equipment,A_neutral_B,B_neutral_A
224,A girl in white is dancing,The blond girl is dancing behind the sound equipment,A_neutral_B,B_neutral_A
225,The equipment in front of the blond dancing girl is sound,A girl in white is dancing,A_neutral_B,B_neutral_A
226,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,A_neutral_B,B_neutral_A
227,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,A_neutral_B,B_neutral_A
228,A girl in white is dancing,The blond girl is dancing in front of the sound equipment,A_neutral_B,B_neutral_A
229,The children of a family are patiently playing and waiting,The children of a family are playing and waiting,A_entails_B,B_neutral_A
230,The children of a family are playing and waiting,There are no children playing and waiting,A_contradicts_B,B_contradicts_A
231,Three Asian kids are dancing and a serious man is looking,Three Asian kids are dancing and a man is looking,A_entails_B,B_neutral_A
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,A_contradicts_B,B_contradicts_A
233,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,A_neutral_B,B_neutral_A
234,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,A_neutral_B,B_neutral_A
235,The children of a family are playing and waiting,Three Asian kids are dancing and there is no man looking,A_neutral_B,B_neutral_A
236,The children of a family are playing and waiting,An Asian man is dancing and three kids are looking,A_neutral_B,B_neutral_A
237,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,A_neutral_B,B_neutral_A
238,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,A_neutral_B,B_neutral_A
239,Three Asian kids are dancing and a man is looking,The children of a family are playing and waiting,A_neutral_B,B_neutral_A
240,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,A_entails_B,B_entails_A
241,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,A_neutral_B,B_neutral_A
242,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,A_neutral_B,B_neutral_A
243,The woman is wearing glasses and a black headdress,The woman with a black hat is wearing sunglasses,A_neutral_B,B_neutral_A
244,The woman is not wearing glasses or a headdress,The woman is wearing glasses and a black headdress,A_contradicts_B,B_contradicts_A
245,The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,A_neutral_B,B_neutral_A
246,A woman is wearing an Egyptian headdress,The woman with a black hat is wearing sunglasses,A_neutral_B,B_neutral_A
247,The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress,A_contradicts_B,B_contradicts_A
248,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,A_neutral_B,B_neutral_A
249,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,A_neutral_B,B_neutral_A
250,A woman is wearing an Indian headdress,The woman is wearing glasses and a black headdress,A_neutral_B,B_neutral_A
251,The woman is wearing glasses and a black headdress,An Egyptian is wearing a woman's headdress,A_neutral_B,B_neutral_A
252,The woman is wearing glasses and a black headdress,A woman is wearing an Egyptian headdress,A_neutral_B,B_neutral_A
253,A hiker is on top of the mountain and is doing a joyful dance,A hiker is on top of the mountain and is dancing,A_entails_B,B_neutral_A
254,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,A_contradicts_B,B_contradicts_A
255,A man is on a rock high above some trees and is standing in an uncomfortable position,A man is on a rock high above some trees and is standing in a strange position,A_entails_B,B_neutral_A
256,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,A_contradicts_B,B_contradicts_A
257,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,A_neutral_B,B_neutral_A
258,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,A_contradicts_B,B_neutral_A
259,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,A_neutral_B,B_neutral_A
260,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,A_neutral_B,B_neutral_A
261,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,A_neutral_B,B_neutral_A
262,A cowgirl is riding a brown horse and is cornering a barrel,A cowgirl is riding a horse and corners a barrel,A_entails_B,B_entails_A
263,A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,A_neutral_B,B_neutral_A
